TSG,RelativeTumor_95,CI_low_tumor,CI_high_tumor,Variants
PTEN, 1.4142135623730951, 1.0652521538697133, 1.6836267384120678,BRAF_V600E
STK11, 1.0309862966316206,,,BRAF_V600E
NF1, 0.9978226657236934,,,BRAF_V600E
SETD2, 0.9346614025750296,,,BRAF_V600E
STAG2, 0.9145089424248275, 0.7516069511160313,,BRAF_V600E
TSC1, 0.8754981896807579,,,BRAF_V600E
RB1, 0.9763083703301255, 0.8111908068103083,,BRAF_V600E
FBXW7, 1.1497003225833535,,,BRAF_V600E
RNF43, 0.8660083438045245, 0.7274300870819685,,BRAF_V600E
RBM10, 0.9045962446964481,,,BRAF_V600E
MGA,0.847336129,,,BRAF_V600E
KEAP1, 0.7937005259840999,0.624491879,,BRAF_V600E
KMT2D, 1.1497003225833535, 0.8290665099883547,,BRAF_V600E
SMAD4, 0.9763083703301255,,,BRAF_V600E
CMTR2, 0.9763083703301255,,,BRAF_V600E
TP53, 1.296133064236082, 1.0537054952030234,,BRAF_V600E
CDKN2A, 1.0422839950031622,,,BRAF_V600E
NF2, 0.9346614025750296,,,BRAF_V600E
APC, 0.9763083703301255,,,BRAF_V600E
PTPRD, 0.9870069000017989,,,BRAF_V600E
ATM, 0.9552579498535971,,,BRAF_V600E
MSN2, 0.9045962446964481,,,BRAF_V600E
ARID2,0.776587357,0.591372214,,BRAF_V600E
KDM6A, 0.9552579498535971,,,BRAF_V600E
ATRX, 0.9657258059441415,,,BRAF_V600E
BRCA2, 1.008756952185565,,,BRAF_V600E
PALB2, 1.0309862966316206,,,BRAF_V600E
