TSG,RelativeTumor_95,CI_low_tumor,CI_high_tumor,Variants
PTEN, 3.0370982969654516,,,KRAS_G12C
STK11, 0.9024080558007127,,,KRAS_G12C
NF1, 1.6555065597696217,,,KRAS_G12C
SETD2, 0.9907081232185663,,,KRAS_G12C
STAG2, 0.9345585148523388,,,KRAS_G12C
TSC1, 1.1263983858787932,,,KRAS_G12C
RB1, 1.0625583640306109,,,KRAS_G12C
FBXW7, 1.2366157678858791,,,KRAS_G12C
RNF43, 1.050231280131595,,,KRAS_G12C
RBM10, 0.9455278903023638,,,KRAS_G12C
MGA, 1.050231280131595,,,KRAS_G12C
KEAP1, 0.9566260187366609,,,KRAS_G12C
KMT2D, 1.0625583640306109,,,KRAS_G12C
SMAD4, 0.8124419842895866,,,KRAS_G12C
CMTR2, 0.8919389275235556,,,KRAS_G12C
TP53, 1.4059862559455534,,,KRAS_G12C
CDKN2A, 1.1396194807643916,,,KRAS_G12C
NF2, 0.9566260187366609,,,KRAS_G12C
APC, 0.9566260187366609,,,KRAS_G12C
PTPRD, 0.9792145972460016,,,KRAS_G12C
ATM, 0.9130000654136898,,,KRAS_G12C
MSN2, 0.9130000654136898,,,KRAS_G12C
ARID2, 0.7400304633738162,,,KRAS_G12C
KDM6A, 1.0023365543892904,,,KRAS_G12C
ATRX, 0.9678544113926768,,,KRAS_G12C
BRCA2, 0.9345585148523388,,,KRAS_G12C
PALB2, 0.8919389275235556,,,KRAS_G12C
