TSG,RelativeTumor_95,CI_low_tumor,CI_high_tumor,Variants
PTEN, 17.511521797777473, 6.830982154513627, 28.585454075456262,KRAS_G12C
STK11, 6.571756700180102, 4.885045815928278, 8.840855900581822,KRAS_G12C
NF1, 5.4159307879238945, 3.6783780633788377, 7.192591294055882,KRAS_G12C
SETD2, 5.012677419153881,NA,NA,KRAS_G12C
STAG2, 4.238991079008207, 3.3178129617124026, 5.5574328240292195,KRAS_G12C
TSC1, 3.2753019322418666, 2.4982714342133123, 4.406199701984398,KRAS_G12C
RB1, 2.032500650387099, 1.4535038408033942, 2.5968167056115457,KRAS_G12C
FBXW7, 1.741101126592243, 1.2776461867881634, 2.1126734152302253,KRAS_G12C
RNF43, 1.5503115193433399,NA, 1.857063639684412,KRAS_G12C
RBM10, 1.4535038408033942, 1.1825166238204678, 1.8811669708424195,KRAS_G12C
MGA, 1.4164950708419664, 1.1524076660881326, 1.6535668771815502,KRAS_G12C
KEAP1, 1.3983455656117636, 1.0944701123610894, 1.8332691437238737,KRAS_G12C
KMT2D, 1.345280463645208, 1.0666029740151448, 1.6967696227704023,KRAS_G12C
SMAD4, 1.328043428858702, 1.052936624831218,NA,KRAS_G12C
CMTR2, 1.2612757477892638, 1.0394453821344904,NA,KRAS_G12C
TP53, 1.2451150626923349, 1.0129792704153628,,KRAS_G12C
CDKN2A, 1.229161443927458, 1.0394453821344904,,KRAS_G12C
NF2, 1.1978648268516991,NA,NA,KRAS_G12C
APC, 1.1825166238204678, 0.8677484794894763, 1.4914795389824005,KRAS_G12C
PTPRD, 1.0944701123610894, 0.8677484794894763,NA,KRAS_G12C
ATM, 1.0394453821344911, 0.8566300464704095, 1.328043428858701,KRAS_G12C
MSN2, 1.0394453821344904,NA,NA,KRAS_G12C
ARID2, 1.0394453821344904, 0.8456540735716672,,KRAS_G12C
KDM6A, 1.0129792704153628,NA,NA,KRAS_G12C
ATRX, 0.9999999999999969,NA,NA,KRAS_G12C
BRCA2, 0.9620515105339196, 0.7244126883415913,NA,KRAS_G12C
PALB2, 0.9136841551960738,NA,NA,KRAS_G12C
