TSG,RelativeTumor_95,CI_low_tumor,CI_high_tumor,Variants
PTEN, 18.97213396937641, 14.328166705505367, 23.475315231297813,KRAS_G12D
STK11, 8.745201464517372, 7.346692912495508, 11.468088775283817,KRAS_G12D
NF1, 3.877985106019717, 3.1340858360258537, 4.892265816061637,KRAS_G12D
SETD2, 4.440856609026789, 3.7306870410385073, 5.184847930437829,KRAS_G12D
STAG2, 4.987911107191704,4.10990813, 5.937404494654249,KRAS_G12D
TSC1, 3.2578283998092554, 2.6328914539139676,,KRAS_G12D
RB1, 3.015043403806346,,,KRAS_G12D
FBXW7, 2.4843168073969757, 2.0870317002244265,,KRAS_G12D
RNF43, 2.0870317002244265, 1.7196594662259965, 2.4843168073969757,KRAS_G12D
RBM10, 1.591504307207034,,,KRAS_G12D
MGA, 1.2862120330088618,, 1.560986543452565,KRAS_G12D
KEAP1, 1.1016491291606416,, 1.389783670783204,KRAS_G12D
KMT2D, 2.9005225773788146, 2.1278338074832535, 3.452662931972581,KRAS_G12D
SMAD4, 1.3113578711495952, 1.1231867061532532, 1.6543413938567886,KRAS_G12D
CMTR2, 2.211846698137473, 1.8225037558767314, 2.9005225773788146,KRAS_G12D
TP53, 1.686684273453493, 1.3113578711495952, 2.1278338074832535,KRAS_G12D
CDKN2A, 1.4728997278846552, 1.190358923216082,,KRAS_G12D
NF2, 1.3113578711495952,,,KRAS_G12D
APC, 1.4169543660801496, 1.190358923216082, 1.6543413938567886,KRAS_G12D
PTPRD, 1.0195503054670614, 0.8081737681665873, 1.2136308037803987,KRAS_G12D
ATM, 0.9435697790366084, 0.7774767879139494,,KRAS_G12D
MSN2,0.907730033,,,KRAS_G12D
ARID2, 0.9808245798542483,, 1.190358923216082,KRAS_G12D
KDM6A, 1.1016491291606416,,,KRAS_G12D
ATRX, 0.9620168564462618, 0.8239738122047092,,KRAS_G12D
BRCA2, 0.8081737681665873,, 0.9435697790366084,KRAS_G12D
PALB2, 0.8081737681665873,,,KRAS_G12D
