SAMPLE_ID	mutations	gistic	structural_variants
A033	WXS	WXS	WXS
A037	WXS	WXS	WXS
A234	WXS	WXS	WXS
BGI-RS60	WXS	WXS	NA
A230	WXS	WXS	NA
A231	WXS	WXS	NA
A232	WXS	WXS	WXS
A233	WXS	WXS	WXS
A239	WXS	WXS	WXS
A149	WXS	WXS	NA
A104	WXS	WXS	WXS
A102	WXS	WXS	WXS
A103	WXS	WXS	WXS
A100	WXS	WXS	WXS
A101	WXS	WXS	WXS
A514	WXS	WXS	WXS
A517	WXS	WXS	WXS
A511	WXS	WXS	WXS
A510	WXS	WXS	WXS
A513	WXS	WXS	NA
A109	WXS	WXS	NA
BGI-RS24	WXS	WXS	NA
BGI-RS25	WXS	WXS	NA
BGI-RS26	WXS	WXS	NA
BGI-RS27	WXS	WXS	NA
BGI-RS20	WXS	WXS	NA
BGI-RS21	WXS	WXS	NA
BGI-RS22	WXS	WXS	NA
BGI-RS23	WXS	WXS	NA
BGI-RS28	WXS	WXS	NA
BGI-RS29	WXS	WXS	NA
A139	WXS	WXS	WXS
A028	WXS	WXS	WXS
A138	WXS	WXS	WXS
A425	WXS	WXS	WXS
A426	WXS	WXS	WXS
A428	WXS	WXS	WXS
BGI-EX04	WXS	WXS	NA
BGI-EX05	WXS	WXS	NA
BGI-EX06	WXS	WXS	NA
BGI-EX07	WXS	WXS	NA
BGI-EX01	WXS	WXS	NA
BGI-EX02	WXS	WXS	NA
BGI-EX03	WXS	WXS	NA
BGI-EX08	WXS	WXS	NA
BGI-EX09	WXS	WXS	NA
A212	WXS	WXS	WXS
A213	WXS	WXS	WXS
A210	WXS	WXS	WXS
A211	WXS	WXS	WXS
A216	WXS	WXS	WXS
A217	WXS	WXS	WXS
A214	WXS	WXS	WXS
A215	WXS	WXS	WXS
BGI-WG12	WXS	WXS	NA
BGI-WG13	WXS	WXS	NA
BGI-WG10	WXS	WXS	NA
BGI-WG11	WXS	WXS	NA
BGI-WG16	WXS	WXS	NA
BGI-WG17	WXS	WXS	NA
BGI-WG14	WXS	WXS	NA
BGI-WG15	WXS	WXS	NA
BGI-RS08	WXS	WXS	NA
BGI-RS09	WXS	WXS	NA
A537	WXS	WXS	WXS
BGI-RS02	WXS	WXS	NA
BGI-RS03	WXS	WXS	NA
BGI-RS01	WXS	WXS	NA
BGI-RS06	WXS	WXS	NA
BGI-RS07	WXS	WXS	NA
BGI-RS04	WXS	WXS	NA
BGI-RS05	WXS	WXS	NA
A209	WXS	WXS	WXS
A199	WXS	WXS	WXS
A198	WXS	WXS	WXS
A191	WXS	WXS	WXS
A190	WXS	WXS	WXS
A193	WXS	WXS	WXS
A192	WXS	WXS	WXS
A195	WXS	WXS	WXS
A194	WXS	WXS	WXS
A197	WXS	WXS	WXS
A208	WXS	WXS	WXS
A375	WXS	WXS	WXS
A377	WXS	WXS	WXS
A379	WXS	WXS	WXS
A177	WXS	WXS	WXS
A279	WXS	WXS	WXS
A204	WXS	WXS	WXS
A270	WXS	WXS	WXS
A271	WXS	WXS	WXS
A272	WXS	WXS	WXS
A273	WXS	WXS	WXS
A274	WXS	WXS	WXS
A275	WXS	WXS	WXS
A276	WXS	WXS	WXS
A277	WXS	WXS	WXS
A206	WXS	WXS	WXS
A250	WXS	WXS	WXS
A201	WXS	WXS	WXS
A148	WXS	WXS	WXS
A169	WXS	WXS	WXS
A285	WXS	WXS	WXS
A284	WXS	WXS	WXS
A281	WXS	WXS	WXS
A203	WXS	WXS	WXS
A283	WXS	WXS	WXS
A282	WXS	WXS	WXS
A202	WXS	WXS	WXS
A205	WXS	WXS	WXS
A306	WXS	WXS	WXS
A307	WXS	WXS	WXS
A302	WXS	WXS	WXS
A074	WXS	WXS	WXS
A072	WXS	WXS	WXS
A073	WXS	WXS	NA
A071	WXS	WXS	NA
A524	WXS	WXS	WXS
A255	WXS	WXS	WXS
A252	WXS	WXS	WXS
A521	WXS	WXS	WXS
A522	WXS	WXS	WXS
A207	WXS	WXS	WXS
A258	WXS	WXS	WXS
A259	WXS	WXS	WXS
A159	WXS	WXS	WXS
A158	WXS	WXS	WXS
A155	WXS	WXS	NA
A519	WXS	WXS	WXS
A157	WXS	WXS	WXS
A156	WXS	WXS	WXS
A150	WXS	WXS	WXS
A153	WXS	WXS	WXS
A152	WXS	WXS	NA
A008	WXS	WXS	WXS
A006	WXS	WXS	WXS
A322	WXS	WXS	WXS
A323	WXS	WXS	WXS
A320	WXS	WXS	WXS
A219	WXS	WXS	WXS
A512	WXS	WXS	WXS
A483	WXS	WXS	WXS
A486	WXS	WXS	WXS
A485	WXS	WXS	NA
A488	WXS	WXS	WXS
A196	WXS	WXS	WXS
A502	WXS	WXS	NA
A503	WXS	WXS	WXS
A500	WXS	WXS	WXS
A501	WXS	WXS	NA
A507	WXS	WXS	WXS
A504	WXS	WXS	WXS
A505	WXS	WXS	NA
A508	WXS	WXS	WXS
A509	WXS	WXS	WXS
BGI-RS51	WXS	WXS	NA
BGI-RS50	WXS	WXS	NA
BGI-RS53	WXS	WXS	NA
BGI-RS52	WXS	WXS	NA
BGI-RS55	WXS	WXS	NA
BGI-RS54	WXS	WXS	NA
BGI-RS57	WXS	WXS	NA
BGI-RS56	WXS	WXS	NA
BGI-RS59	WXS	WXS	NA
BGI-RS58	WXS	WXS	NA
A131	WXS	WXS	WXS
A130	WXS	WXS	NA
A136	WXS	WXS	WXS
A134	WXS	WXS	WXS
A434	WXS	WXS	WXS
