rank	gene	N	n	p	q	expr	reptime	hic	nnei	x	X
1	APC	7784352	49	2.70E-03	1	247811	399	28	9	4	3740572
2	U2AF1	746544	5	9.60E-03	1	687433	279	59	50	21	16120760
3	SETD2	7045962	11	1.67E-02	1	593886	365	46	50	15	16883914
4	PIK3CA	2978022	15	1.77E-02	1	401889	613	11	50	34	18522868
5	MET	3902142	6	2.22E-02	1	558228	262	2	38	15	14018236
6	EPRS	4224678	15	3.53E-02	1	630371	608	-8	8	3	3364582
7	MGA	8416740	10	7.03E-02	1	765304	256	41	50	12	21552532
8	RASA1	2944500	5	0.1250466	1	154501	726	24	11	41	26927528
9	PBRM1	4549026	5	0.317053	1	1217701	231	47	20	8	8887860
10	CTNNB1	2179836	11	0.3234992	1	305811	448	8	6	3	1930988
11	LYST	10518660	15	0.4905528	1	438216	401	9	10	7	6786544
12	ZMYM2	3828756	6	0.6533742	1	329235	391	43	4	2	2353486
13	NF1	7979142	12	0.9368637	1	462449	396	26	5	2	2386102
14	ATF7IP	3505314	8	0.9473474	1	339265	882	12	0	0	797884
15	NCOR2	7024218	7	0.9922254	1	1239461	472	37	3	2	2659110
16	BRAF	2148126	10	6.53E-04	0.5244532	305191	616	25	50	22	20118636
17	STK11	1212228	13	6.95E-04	0.5244532	2214581	234	29	6	4	1648014
18	KEAP1	1716870	14	2.74E-05	0.047	1996822	207	30	50	20	16198374
19	PARP4	4807236	17	2.38E-05	0.0449	340065	606	39	28	8	8737162
20	PTEN	1127064	8	8.52E-06	0.0179	259678	300	34	50	18	15471460
21	KRAS	642354	35	7.27E-06	0.0171	259193	512	16	2	4	758624
22	RB1	2619246	11	8.28E-07	0.00223	349930	450	41	50	25	19092440
23	RBM10	2610186	23	2.11E-15	6.63e-12	819569	#N/A	38	50	12	14062026
24	EGFR	3623094	166	0	0	423489	336	-13	8	7	2932420
25	RHPN2	1919814	14	0	0	458398	356	-12	50	21	18485118
26	SMAD4	1539294	11	0	0	156084	422	41	50	21	21040038
27	TP53	1190484	114	0	0	2069567	213	34	50	23	15651150
