SAMPLE_ID	mutations	structural_variants
NSLC-0071-T01	WGS	WGS
NSLC-0178-T01	WGS	WGS
NSLC-0123-T01	WGS	WGS
NSLC-0203-T01	WGS	WGS
NSLC-0172-T01	WGS	WGS
NSLC-0016-T01	WGS	WGS
NSLC-0029-T01	WGS	WGS
NSLC-0126-T01	WGS	WGS
NSLC-0220-T01	WGS	WGS
NSLC-0051-T01	WGS	WGS
NSLC-0031-T01	WGS	WGS
NSLC-0167-T03	WGS	WGS
NSLC-0158-T01	WGS	WGS
NSLC-0148-T01	WGS	WGS
NSLC-0136-T01	WGS	WGS
NSLC-0014-T01	WGS	WGS
NSLC-0093-T01	WGS	WGS
NSLC-0074-T01	WGS	WGS
NSLC-0024-T01	WGS	WGS
NSLC-0151-T01	WGS	WGS
NSLC-0247-T01	WGS	WGS
NSLC-0100-T02	WGS	WGS
NSLC-0111-T01	WGS	WGS
NSLC-0140-T01	WGS	WGS
NSLC-0095-T01	WGS	WGS
NSLC-0108-T01	WGS	WGS
NSLC-0076-T01	WGS	WGS
NSLC-0215-T01	WGS	WGS
NSLC-0115-T01	WGS	WGS
NSLC-0221-T01	WGS	WGS
NSLC-0250-T01	WGS	WGS
NSLC-0044-T01	WGS	WGS
NSLC-0053-T01	WGS	WGS
NSLC-0002-T01	WGS	WGS
NSLC-0063-T01	WGS	WGS
NSLC-0119-T01	WGS	WGS
NSLC-0081-T01	WGS	WGS
NSLC-0022-T01	WGS	WGS
NSLC-0107-T01	WGS	WGS
NSLC-0137-T01	WGS	WGS
NSLC-0219-T01	WGS	WGS
NSLC-0028-T01	WGS	WGS
NSLC-0207-T01	WGS	WGS
NSLC-0176-T01	WGS	WGS
NSLC-0125-T01	WGS	WGS
NSLC-0061-T01	WGS	WGS
NSLC-0041-T01	WGS	WGS
NSLC-0240-T01	WGS	WGS
NSLC-0021-T01	WGS	WGS
NSLC-0251-T01	WGS	WGS
NSLC-0138-T01	WGS	WGS
NSLC-0118-T01	WGS	WGS
NSLC-0150-T01	WGS	WGS
NSLC-0170-T01	WGS	WGS
NSLC-0090-T01	WGS	WGS
NSLC-0043-T01	WGS	WGS
NSLC-0228-T01	WGS	WGS
NSLC-0242-T01	WGS	WGS
NSLC-0065-T01	WGS	WGS
NSLC-0185-T01	WGS	WGS
NSLC-0023-T01	WGS	WGS
NSLC-0085-T01	WGS	WGS
NSLC-0092-T08	WGS	WGS
NSLC-0011-T01	WGS	WGS
NSLC-0155-T01	WGS	WGS
NSLC-0139-T01	WGS	WGS
NSLC-0216-T01	WGS	WGS
NSLC-0077-T01	WGS	WGS
NSLC-0124-T01	WGS	WGS
NSLC-0087-T01	WGS	WGS
NSLC-0165-T01	WGS	WGS
NSLC-0055-T01	WGS	WGS
NSLC-0036-T01	WGS	WGS
NSLC-0084-T01	WGS	WGS
NSLC-0243-T01	WGS	WGS
NSLC-0116-T01	WGS	WGS
NSLC-0187-T01	WGS	WGS
NSLC-0048-T01	WGS	WGS
NSLC-0045-T01	WGS	WGS
NSLC-0020-T01	WGS	WGS
NSLC-0162-T01	WGS	WGS
NSLC-0005-T01	WGS	WGS
NSLC-0173-T01	WGS	WGS
NSLC-0078-T01	WGS	WGS
NSLC-0096-T01	WGS	WGS
NSLC-0180-T01	WGS	WGS
NSLC-0025-T01	WGS	WGS
NSLC-0254-T01	WGS	WGS
NSLC-0042-T01	WGS	WGS
NSLC-0054-T01	WGS	WGS
NSLC-0217-T01	WGS	WGS
NSLC-0094-T01	WGS	WGS
NSLC-0098-T02	WGS	WGS
NSLC-0015-T01	WGS	WGS
NSLC-0103-T01	WGS	WGS
NSLC-0007-T01	WGS	WGS
NSLC-0080-T01	WGS	WGS
NSLC-0226-T01	WGS	WGS
NSLC-0192-T01	WGS	WGS
NSLC-0109-T01	WGS	WGS
NSLC-0204-T01	WGS	WGS
NSLC-0112-T01	WGS	WGS
NSLC-0037-T01	WGS	WGS
NSLC-0232-T01	WGS	WGS
NSLC-0157-T01	WGS	WGS
NSLC-0117-T01	WGS	WGS
NSLC-0069-T01	WGS	WGS
NSLC-0237-T01	WGS	WGS
NSLC-0003-T01	WGS	WGS
NSLC-0082-T01	WGS	WGS
NSLC-0134-T01	WGS	WGS
NSLC-0032-T01	WGS	WGS
NSLC-0088-T01	WGS	WGS
NSLC-0113-T01	WGS	WGS
NSLC-0152-T01	WGS	WGS
NSLC-0102-T01	WGS	WGS
NSLC-0105-T01	WGS	WGS
NSLC-0060-T01	WGS	WGS
NSLC-0110-T01	WGS	WGS
NSLC-0073-T01	WGS	WGS
NSLC-0058-T01	WGS	WGS
NSLC-0196-T01	WGS	WGS
NSLC-0131-T01	WGS	WGS
NSLC-0143-T01	WGS	WGS
NSLC-0223-T01	WGS	WGS
NSLC-0236-T01	WGS	WGS
NSLC-0079-T01	WGS	WGS
NSLC-0213-T01	WGS	WGS
NSLC-0183-T01	WGS	WGS
NSLC-0062-T01	WGS	WGS
NSLC-0186-T01	WGS	WGS
NSLC-0027-T01	WGS	WGS
NSLC-0190-T01	WGS	WGS
NSLC-0083-T01	WGS	WGS
NSLC-0067-T01	WGS	WGS
NSLC-0133-T01	WGS	WGS
NSLC-0049-T01	WGS	WGS
NSLC-0128-T01	WGS	WGS
NSLC-0153-T01	WGS	WGS
NSLC-0194-T01	WGS	WGS
NSLC-0188-T01	WGS	WGS
NSLC-0008-T01	WGS	WGS
NSLC-0214-T01	WGS	WGS
NSLC-0161-T01	WGS	WGS
NSLC-0201-T01	WGS	WGS
NSLC-0145-T01	WGS	WGS
NSLC-0068-T01	WGS	WGS
NSLC-0072-T01	WGS	WGS
NSLC-0038-T01	WGS	WGS
NSLC-0046-T01	WGS	WGS
NSLC-0122-T01	WGS	WGS
NSLC-0146-T01	WGS	WGS
NSLC-0163-T01	WGS	WGS
NSLC-0174-T01	WGS	WGS
NSLC-0135-T01	WGS	WGS
NSLC-0222-T01	WGS	WGS
NSLC-0249-T01	WGS	WGS
NSLC-0030-T01	WGS	WGS
NSLC-0195-T01	WGS	WGS
NSLC-0171-T01	WGS	WGS
NSLC-0120-T01	WGS	WGS
NSLC-0199-T01	WGS	WGS
NSLC-0149-T01	WGS	WGS
NSLC-0144-T01	WGS	WGS
NSLC-0057-T01	WGS	WGS
NSLC-0127-T01	WGS	WGS
NSLC-0229-T01	WGS	WGS
NSLC-0114-T01	WGS	WGS
NSLC-0227-T01	WGS	WGS
NSLC-0175-T01	WGS	WGS
NSLC-0168-T01	WGS	WGS
NSLC-0197-T01	WGS	WGS
NSLC-0246-T01	WGS	WGS
NSLC-0132-T01	WGS	WGS
NSLC-0047-T01	WGS	WGS
NSLC-0156-T01	WGS	WGS
NSLC-0244-T01	WGS	WGS
NSLC-0200-T01	WGS	WGS
NSLC-0210-T01	WGS	WGS
NSLC-0006-T01	WGS	WGS
NSLC-0129-T01	WGS	WGS
NSLC-0019-T01	WGS	WGS
NSLC-0177-T01	WGS	WGS
NSLC-0035-T01	WGS	WGS
NSLC-0209-T01	WGS	WGS
NSLC-0253-T01	WGS	WGS
NSLC-0013-T01	WGS	WGS
NSLC-0255-T01	WGS	WGS
NSLC-0009-T01	WGS	WGS
NSLC-0147-T01	WGS	WGS
NSLC-0212-T01	WGS	WGS
NSLC-0218-T01	WGS	WGS
NSLC-0001-T01	WGS	WGS
NSLC-0050-T01	WGS	WGS
NSLC-0181-T01	WGS	WGS
NSLC-0039-T01	WGS	WGS
NSLC-0034-T01	WGS	WGS
NSLC-0101-T01	WGS	WGS
NSLC-0193-T01	WGS	WGS
NSLC-0233-T01	WGS	WGS
NSLC-0130-T01	WGS	WGS
NSLC-0064-T01	WGS	WGS
NSLC-0142-T01	WGS	WGS
NSLC-0166-T01	WGS	WGS
NSLC-0159-T01	WGS	WGS
NSLC-0184-T01	WGS	WGS
NSLC-0017-T01	WGS	WGS
NSLC-0121-T01	WGS	WGS
NSLC-0018-T01	WGS	WGS
NSLC-0026-T01	WGS	WGS
NSLC-0191-T01	WGS	WGS
NSLC-0033-T01	WGS	WGS
NSLC-0059-T01	WGS	WGS
NSLC-0004-T01	WGS	WGS
NSLC-0231-T01	WGS	WGS
NSLC-0164-T01	WGS	WGS
NSLC-0104-T01	WGS	WGS
NSLC-0154-T01	WGS	WGS
NSLC-0252-T01	WGS	WGS
NSLC-0097-T01	WGS	WGS
NSLC-0245-T01	WGS	WGS
NSLC-0066-T01	WGS	WGS
NSLC-0010-T01	WGS	WGS
NSLC-0248-T01	WGS	WGS
NSLC-0169-T01	WGS	WGS
NSLC-0225-T01	WGS	WGS
NSLC-0086-T01	WGS	WGS
NSLC-0230-T01	WGS	WGS
NSLC-0012-T01	WGS	WGS
NSLC-0106-T01	WGS	WGS
NSLC-0198-T01	WGS	WGS
NSLC-0160-T01	WGS	WGS
